iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
78,0.014296383,7.281826820000003,370,0.20061781645956217,0.20061781645956217,0.022448047615396982,0.012721213288291566,0.020358992783477414,-3.922990593401513,-3.956201729351238,-3.9026053465220576,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
79,0.013660119,7.295486939000003,372,0.20061781645956217,0.20061781645956217,0.022448047615396982,0.012721213288291566,0.020358992783477414,-3.922990593401513,-3.956201729351238,-3.9026053465220576,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
80,0.014225845,7.309712784000003,374,0.20061781645956217,0.20061781645956217,0.022448047615396982,0.012721213288291566,0.020358992783477414,-3.922990593401513,-3.956201729351238,-3.9026053465220576,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
81,0.01492533,7.3246381140000025,376,0.2006178953395109,0.2006178953395109,0.02244721309130382,0.012719511095622305,0.0203580867018055,-3.92299058799052,-3.956200700582696,-3.9026042781542114,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
82,0.013628292,7.3382664060000025,376,0.2006178953395109,0.2006178953395109,0.02244721309130382,0.012719511095622305,0.0203580867018055,-3.92299058799052,-3.956200700582696,-3.9026042781542114,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
83,0.014283845,7.352550251000002,379,0.20056816895077456,0.20056816895077456,0.022797451236801547,0.013317080132922432,0.020883088799713456,-3.922271486144733,-3.9550587767629386,-3.9019074338312567,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
84,0.014017224,7.366567475000002,381,0.20056832727085544,0.20056832727085544,0.022798918381570554,0.013318765269677124,0.02088386146673238,-3.9222714323766588,-3.955056718660351,-3.901906434706753,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
85,0.014055579,7.380623054000002,385,0.20055626516572586,0.20055626516572586,0.02291697706653517,0.013487874211272954,0.02121756826964627,-3.922233339804241,-3.954938005722206,-3.901708485709826,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
86,0.014150559,7.394773613000002,387,0.20055635517510872,0.20055635517510872,0.02291586922682176,0.013486110141881946,0.021216429475476306,-3.922233329425216,-3.9549386224792906,-3.9017090850693243,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
87,0.013331651,7.408105264000001,389,0.20055635517510872,0.20055635517510872,0.02291586922682176,0.013486110141881946,0.021216429475476306,-3.922233329425216,-3.9549386224792906,-3.9017090850693243,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
88,0.014434205,7.422539469000001,391,0.20055670304362358,0.20055670304362358,0.022922022809922282,0.0134929154347454,0.021223560199272296,-3.9222333155881306,-3.9549390144977346,-3.901712860809369,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
89,0.014446529,7.436985998000001,394,0.20052533262505948,0.20052533262505948,0.02291330264148339,0.013452283288299172,0.02117456009383145,-3.9221636897265357,-3.954935916320717,-3.9013872563054024,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
90,0.015688123,7.452674121000001,396,0.20052533324175345,0.20052533324175345,0.02291347080170225,0.013452386834286956,0.021174963249536716,-3.922163319105162,-3.954925339636323,-3.9014201824971457,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
91,0.015192868,7.467866989000001,399,0.20052486516392387,0.20052486516392387,0.02291292684202184,0.01345228987599656,0.021173279810870804,-3.922100161739057,-3.9549316882752596,-3.9011690089661,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
92,0.014192951,7.482059940000001,401,0.20052485370620807,0.20052485370620807,0.02291312558065528,0.0134524909234095,0.02117348218559789,-3.92210016011009,-3.9549312678137243,-3.901168820520723,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
93,0.014051812,7.496111752000001,404,0.20056805102046837,0.20056805102046837,0.02288945401661202,0.01341319012256792,0.021230911362901783,-3.922067857820803,-3.9547528627496793,-3.9011602848584004,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
94,0.014386227,7.510497979000001,406,0.200564608801047,0.200564608801047,0.022897204438415142,0.013422295914689242,0.021235656660451796,-3.9220678316271704,-3.9547581751281315,-3.9011591030495962,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
95,0.016146176,7.526644155000001,409,0.20055166838511956,0.20055166838511956,0.02293344342415693,0.013431718940834614,0.021277786561330614,-3.922048445837321,-3.954741435216936,-3.901067488003767,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
96,0.014811026,7.541455181000002,411,0.2005516427979438,0.2005516427979438,0.022933317071544668,0.013431065150511512,0.02127741947458317,-3.9220484447027055,-3.954741751673651,-3.9010674353273105,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
97,0.014401055,7.555856236000002,418,0.2005513273944771,0.2005513273944771,0.022918526053936183,0.013418922876677009,0.02125890085630955,-3.922047204641968,-3.954761820194905,-3.901051027022537,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
98,0.015976578,7.571832814000002,420,0.2005513922649799,0.2005513922649799,0.022918616624799437,0.013419019046546299,0.02125894731056177,-3.9220472029293005,-3.9547628605134264,-3.9010515997266024,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
99,0.014825899,7.586658713000002,420,0.2005513922649799,0.2005513922649799,0.022918616624799437,0.013419019046546299,0.02125894731056177,-3.9220472029293005,-3.9547628605134264,-3.9010515997266024,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
100,0.015530628,7.602189341000002,422,0.20055134016881332,0.20055134016881332,0.022920356594246405,0.01341967595815996,0.021261139083566638,-3.922047219445521,-3.954763706797218,-3.9010519183057304,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
